radar,date,season,download?,status,contamination type,target_id,screener,surface wind (m/s),wind direction,time,target speed (m/s),ground heading,comments
KMOB,10/21/2005,Fall,n,,,,,,,,,,
KMOB,10/22/2005,Fall,y,,,,,,,,,,
KMOB,10/23/2005,Fall,y,,,,,,,,,,
KMOB,10/24/2005,Fall,y,,,,,,,,,,
KMOB,10/25/2005,Fall,y,,,,,,,,,,
KMOB,10/26/2005,Fall,y,,,,,,,,,,
KMOB,10/27/2005,Fall,y,,,,,,,,,,
KMOB,10/28/2005,Fall,y,,,,,,,,,,
KMOB,10/29/2005,Fall,y,,,,,,,,,,
KMOB,10/30/2005,Fall,y,,,,,,,,,,
KMOB,10/31/2005,Fall,y,,,,,,,,,,
KMOB,11/1/2005,Fall,y,,,,,,,,,,
KMOB,9/1/2006,Fall,y,,,,,,,,,,
KMOB,9/2/2006,Fall,y,,,,,,,,,,
KMOB,9/3/2006,Fall,n,,,,,,,,,,
KMOB,9/4/2006,Fall,n,,,,,,,,,,
KMOB,9/5/2006,Fall,n,,,,,,,,,,
KMOB,9/6/2006,Fall,n,,,,,,,,,,
KMOB,9/7/2006,Fall,y,,,,,,,,,,
KMOB,9/8/2006,Fall,y,,,,,,,,,,
KMOB,9/9/2006,Fall,n,,,,,,,,,,
KMOB,9/10/2006,Fall,n,,,,,,,,,,
KMOB,9/11/2006,Fall,n,,,,,,,,,,
KMOB,9/12/2006,Fall,n,,,,,,,,,,
KMOB,9/13/2006,Fall,n,,,,,,,,,,
KMOB,9/14/2006,Fall,y,,,,,,,,,,
KMOB,9/15/2006,Fall,y,,,,,,,,,,
KMOB,9/16/2006,Fall,y,,,,,,,,,,
KMOB,9/17/2006,Fall,n,,,,,,,,,,
KMOB,9/18/2006,Fall,y,,,,,,,,,,
KMOB,9/19/2006,Fall,y,,,,,,,,,,
KMOB,9/20/2006,Fall,y,,,,,,,,,,
KMOB,9/21/2006,Fall,n,,,,,,,,,,
KMOB,9/22/2006,Fall,n,,,,,,,,,,
KMOB,9/23/2006,Fall,n,,,,,,,,,,
KMOB,9/24/2006,Fall,n,,,,,,,,,,
KMOB,9/25/2006,Fall,y,,,,,,,,,,
KMOB,9/26/2006,Fall,y,,,,,,,,,,
KMOB,9/27/2006,Fall,y,,,,,,,,,,
KMOB,9/28/2006,Fall,y,,,,,,,,,,
KMOB,9/29/2006,Fall,y,,,,,,,,,,
KMOB,9/30/2006,Fall,y,,,,,,,,,,
KMOB,10/1/2006,Fall,n,,,,,,,,,,
KMOB,10/2/2006,Fall,n,,,,,,,,,,
KMOB,10/3/2006,Fall,n,,,,,,,,,,
KMOB,10/4/2006,Fall,y,,,,,,,,,,
KMOB,10/5/2006,Fall,y,,,,,,,,,,
