radar,date,season,download?,status,contamination type,target_id,screener,surface wind (m/s),wind direction,time,target speed (m/s),ground heading,comments,
KDOX,2/6/2016,Fall,y,,,,,,,,,,,
KDOX,2/7/2016,Fall,y,,,,,,,,,,,
KDOX,2/8/2016,Fall,n,,,,,,,,,,,
KDOX,2/9/2016,Fall,n,,,,,,,,,,,
KDOX,2/10/2016,Fall,n,,,,,,,,,,,
KDOX,2/11/2016,Fall,n,,,,,,,,,,,
KDOX,2/12/2016,Fall,y,,,,,,,,,,,
KDOX,2/13/2016,Fall,n,,,,,,,,,,,
KDOX,2/14/2016,Fall,n,,,,,,,,,,,
KDOX,2/15/2016,Fall,y,,,,,,,,,,,
KDOX,2/16/2016,Fall,n,,,,,,,,,,,
KDOX,2/17/2016,Fall,y,,,,,,,,,,,
KDOX,2/18/2016,Fall,y,,,,,,,,,,,
KDOX,2/19/2016,Fall,y,,,,,,,,,,,
KDOX,2/20/2016,Fall,y,,,,,,,,,,,
KDOX,2/21/2016,Fall,y,,,,,,,,,,,
KDOX,2/22/2016,Fall,n,,,,,,,,,,,
KDOX,2/23/2016,Fall,y,,,,,,,,,,,
KDOX,2/24/2016,Fall,y,,,,,,,,,,,
KDOX,2/25/2016,Fall,y,,,,,,,,,,,
KDOX,2/26/2016,Fall,n,,,,,,,,,,,
KDOX,2/27/2016,Fall,y,,,,,,,,,,,
KDOX,2/28/2016,Fall,y,,,,,,,,,,,
KDOX,2/29/2016,Fall,y,,,,,,,,,,,
,,,,,,,,,,,,,,
