KRTX,45.7147,-122.9653,509.1
KSFX,43.1058,-112.6861,1373.7
KSGF,37.2353,-93.4006,409.5
KSHV,32.4508,-93.8414,113.2
KSJT,31.3714,-100.4925,606.1
KSOX,33.8178,-117.6358,937.6
KSRX,35.2906,-94.3617,215.1
KTBW,27.7056,-82.4017,32.5
KTFX,47.4597,-111.3853,1142.0
KTLH,30.3975,-84.3289,49.2
KTLX,35.3331,-97.2778,384.7
KTWX,38.9969,-96.2325,426.7
KTYX,43.7558,-75.7633,592.4
KUDX,44.1250,-102.8297,949.3
KUEX,40.3208,-98.4419,622.3
KVAX,30.8903,-83.0017,84.3
KVBX,34.8381,-120.3969,392.8
KVNX,36.7408,-98.1278,378.8
KVTX,34.4117,-119.1794,850.9
KYUX,32.4953,-114.6567,63.0
